Fish_Name,Market,Standard,Catch,Ave_Value,Fish_Body_Composition_L,Fish_Body_Composition_M,Fish_Body_Composition_S,Fish_Body_Composition_XS,Date
生たこ類,釜石,生鮮,0.0,720,,,,,2021-05-18
生キハダ,銚子,生鮮,0.0,779,,,,,2021-05-18
生マカジキ,銚子,生鮮,0.0,442,,,,,2021-05-18
生ウルメイワシ,魚津,生鮮,0.0,216,,,,,2021-05-18
生シラス,魚津,生鮮,0.0,"1,026",,,,,2021-05-18
生ヒラマサ,魚津,生鮮,0.0,616,100,,,,2021-05-18
生ヒラメ(天然),魚津,生鮮,0.0,864,,,,,2021-05-18
生ホッケ,魚津,生鮮,0.0,54,,,,,2021-05-18
生ヤリイカ,魚津,生鮮,0.0,"1,566",,,,,2021-05-18
生トキサケ,田野畑,生鮮,0.0,"1,507",,,,,2021-05-18
生カラフトマス（青鱒）,田野畑,生鮮,0.0,120,,,,,2021-05-18
生マスノスケ,田野畑,生鮮,0.0,"1,718",,,,,2021-05-18
生ブリ(天然：ｲﾅﾀﾞ･ﾜﾗｻ含),田野畑,生鮮,0.0,195,,,,,2021-05-18
生チダイ,田野畑,生鮮,0.0,401,,,,,2021-05-18
生その他のふぐ類,田野畑,生鮮,0.0,"1,680",,,,,2021-05-18
生その他かれい類,田野畑,生鮮,0.0,165,,,,,2021-05-18
生マコガレイ,田野畑,生鮮,0.0,74,,,,,2021-05-18
生ババガレイ（ナメタ）,田野畑,生鮮,0.0,442,,,,,2021-05-18
生イシガレイ,田野畑,生鮮,0.0,0,,,,,2021-05-18
生めばる類,田野畑,生鮮,0.0,441,,,,,2021-05-18
生クロソイ,田野畑,生鮮,0.0,99,,,,,2021-05-18
生その他のめばる類,田野畑,生鮮,0.0,159,,,,,2021-05-18
生かさご類,田野畑,生鮮,0.0,716,,,,,2021-05-18
生マダラ,田野畑,生鮮,0.0,54,,,,,2021-05-18
生アンコウ,田野畑,生鮮,0.0,21,,,,,2021-05-18
生ドンコ,田野畑,生鮮,0.0,32,,,,,2021-05-18
生アイナメ,田野畑,生鮮,0.0,517,,,,,2021-05-18
生スズキ,田野畑,生鮮,0.0,209,,,,,2021-05-18
生カワハギ,田野畑,生鮮,0.0,175,,,,,2021-05-18
生ウミタナゴ,田野畑,生鮮,0.0,54,,,,,2021-05-18
生あなご類,田野畑,生鮮,0.0,756,,,,,2021-05-18
生その他の魚類,田野畑,生鮮,0.0,98,,,,,2021-05-18
生ヤリイカ,田野畑,生鮮,0.0,"1,073",,,,,2021-05-18
生たこ類,田野畑,生鮮,0.0,572,,,,,2021-05-18
生ババガレイ（ナメタ）,八木,生鮮,0.1,131,,,,,2021-05-18
生その他の魚類,八木,生鮮,0.1,82,,,,,2021-05-18
生たこ類,大槌,生鮮,0.1,464,,,,,2021-05-18
生ます類,女川,生鮮,0.1,391,,,,,2021-05-18
生ホウボウ(ｶﾅｶﾞｼﾗ含),女川,生鮮,0.1,100,,,,,2021-05-18
生アンコウ,女川,生鮮,0.1,75,,,,,2021-05-18
生イシダイ,松浦,生鮮,0.1,679,,,,,2021-05-18
生スズキ,松浦,生鮮,0.1,223,,,,,2021-05-18
生コノシロ,松浦,生鮮,0.1,68,,,,,2021-05-18
生その他の魚類,松浦,生鮮,0.1,116,,,,,2021-05-18
生スルメイカ,松浦,生鮮,0.1,392,23,,,,2021-05-18
生マサバ,枕崎,生鮮,0.1,208,,,,,2021-05-18
生カツオ,枕崎,生鮮,0.1,135,,,,,2021-05-18
生ハガツオ,枕崎,生鮮,0.1,605,,,,,2021-05-18
生めばる類,枕崎,生鮮,0.1,11,,,,,2021-05-18
塩ギンザケ,石巻,塩蔵,0.1,254,,,,,2021-05-18
生さわら類,石巻,生鮮,0.1,596,,,,,2021-05-18
生マダイ(天然),石巻,生鮮,0.1,870,,,,,2021-05-18
生マコガレイ,石巻,生鮮,0.1,411,,,,,2021-05-18
生ヌマガレイ(川鰈･鷹羽鰈,石巻,生鮮,0.1,48,,,,,2021-05-18
生めばる類,石巻,生鮮,0.1,534,,,,,2021-05-18
生キツネメバル（マゾイ）,石巻,生鮮,0.1,143,,,,,2021-05-18
生こち類,石巻,生鮮,0.1,295,,,,,2021-05-18
生アイナメ,石巻,生鮮,0.1,524,,,,,2021-05-18
生ガザミ(ワタリガニ),石巻,生鮮,0.1,"1,186",,,,,2021-05-18
生スルメイカ,石巻,生鮮,0.1,72,,,,,2021-05-18
生こういか類,石巻,生鮮,0.1,284,,,,,2021-05-18
生ウミタナゴ,野田,生鮮,0.1,112,,,,,2021-05-18
生マイワシ,釜石,生鮮,0.1,11,,,,,2021-05-18
生その他のふぐ類,釜石,生鮮,0.1,131,,,,,2021-05-18
生クロマグロ,釜石,生鮮,0.1,"1,443",,,,,2021-05-18
生アンコウ,釜石,生鮮,0.1,28,,,,,2021-05-18
生その他の魚類,釜石,生鮮,0.1,120,,,,,2021-05-18
生ダルマ(メバチ幼魚),銚子,生鮮,0.1,937,,,,,2021-05-18
生メカジキ,銚子,生鮮,0.1,"1,254",,,,,2021-05-18
生さわら類,魚津,生鮮,0.1,305,,,85,,2021-05-18
生マダイ(天然),魚津,生鮮,0.1,799,,100,,,2021-05-18
生かます類,魚津,生鮮,0.1,475,,,,,2021-05-18
生ウマズラハギ,魚津,生鮮,0.1,648,,,,,2021-05-18
生アオリイカ,魚津,生鮮,0.1,"1,026",100,,,,2021-05-18
生さわら類,田野畑,生鮮,0.1,674,,,,,2021-05-18
生ヒラメ(天然),田野畑,生鮮,0.1,366,,,,,2021-05-18
生えい類,田野畑,生鮮,0.1,53,,,,,2021-05-18
生ウマズラハギ,女川,生鮮,0.2,205,,,,,2021-05-18
生マルアジ(青ｱｼﾞ),松浦,生鮮,0.2,68,100,,,,2021-05-18
生ます類,石巻,生鮮,0.2,470,,,,,2021-05-18
生その他の魚類,石巻,生鮮,0.2,127,,,,,2021-05-18
生本マス（サクラマス）,野田,生鮮,0.2,614,,,,,2021-05-18
生カワハギ,釜石,生鮮,0.2,370,,,,,2021-05-18
生ヤリイカ,釜石,生鮮,0.2,787,,,,,2021-05-18
生さば類(ﾏｻﾊﾞ・ｺﾞﾏｻﾊﾞ込),魚津,生鮮,0.2,528,,93,7,,2021-05-18
生その他のふぐ類,魚津,生鮮,0.2,189,,,,,2021-05-18
生スルメイカ,魚津,生鮮,0.2,610,,,,,2021-05-18
生ホタルイカ,魚津,生鮮,0.2,"1,944",,,,,2021-05-18
生さば類(ﾏｻﾊﾞ・ｺﾞﾏｻﾊﾞ込),田野畑,生鮮,0.2,44,,,,,2021-05-18
生さけ類(その他),大槌,生鮮,0.3,756,,,,,2021-05-18
生ヤリイカ,女川,生鮮,0.3,909,,,,,2021-05-18
