水揚日,漁業名,荷主コード,荷主名,組合員区分,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価,仕切税抜金額
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,66,ゴンボ　,3,7,150,1050
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,3,さば,301,さば,5,中　　　,0,2.5,70,175
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,3,さば,301,さば,62,キズ　　,1,545,10,5450
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,701,ぶり,40,１０ｋ台,1,9.5,1500,14250
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2726,かわはぎ,0,,14,130,123,15990
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,5,中　　　,0,7.5,250,1875
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,6,小　　　,0,8.5,200,1700
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,5,中　　　,0,1.2,320,384
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,6,小　　　,0,2.1,230,483
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,7,２小　　,0,0.9,160,144
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,8,３小　　,0,1.5,70,105
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1310,がや,0,,0,3,150,450
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1301,まぞい,8,３小　　,0,0.8,100,80
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,7,２小　　,0,0.6,20,12
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2730,はも,0,,1,0.7,400,280
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2703,とうべつかじか,0,,0,1.7,10,17
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,18,あんこう,2708,あんこう,0,,1,6,700,4200
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,18,あんこう,2708,あんこう,0,,1,1.5,100,150
20181203,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2010,みずいか,65,込　　　,6,30,650,19500
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2001,するめいか,0,,96,1500,580,870000
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2010,みずいか,65,込　　　,9,73,700,51100
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,21,たこ,2104,柳だこ,0,,0,2,350,700
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,11,かれい,1116,まつかわがれい,0,活,1,5,1300,6500
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,12,ひらめ,1202,活ひらめ,5,中　　　,1,1.8,1100,1980
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,12,ひらめ,1202,活ひらめ,3,大大　　,1,6.5,200,1300
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,18,あんこう,2708,あんこう,0,,1,0.9,20,18
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,18,あんこう,2708,あんこう,0,,1,2,260,520
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,0,,85,300,1050,315000
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,65,込　　　,380,1075,890,956750
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,101,さけオス,0,,20,87,530,46110
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,101,さけオス,65,込　　　,300,855,224,191520
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,66,ゴンボ　,15,38,200,7600
