水揚日,荷主コード,荷主名,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価区分名,仕切税抜金額
20140509,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,6,小　　　,1,0.9,キロ,45
20140509,54079,ツガイナカ中村漁場　１号,2,ます,202,あおます,7,２小　　,2,1,キロ,50
20140509,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,1,1.4,キロ,840
20140509,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,5,キロ,400
20140509,54079,ツガイナカ中村漁場　１号,15,さめ,1502,もかざめ,0,,1,100,キロ,500
20140509,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,2,5,キロ,6000
20140511,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,1,2.2,キロ,1980
20140511,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,1,1.6,キロ,1008
20140511,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,1,0.9,キロ,387
20140511,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,135,中キズ,3,3.6,キロ,1080
20140511,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,1,1,キロ,200
20140511,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,1,2.2,キロ,2200
20140511,54079,ツガイナカ中村漁場　１号,10,ほっけ,1001,ほっけ,4,大　　　,1,1,キロ,500
20140511,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,2,8,キロ,400
20140511,54079,ツガイナカ中村漁場　１号,15,さめ,1502,もかざめ,0,,1,85,キロ,425
20140511,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,1,11.5,キロ,2530
20140511,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,6,小　　　,1,1.5,キロ,120
20140512,54079,ツガイナカ中村漁場　１号,15,さめ,1502,もかざめ,0,,1,85,キロ,255
20140512,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,1,キロ,400
20140512,54079,ツガイナカ中村漁場　１号,11,かれい,1111,なめたがれい,0,,1,0.7,キロ,105
20140512,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,7,キロ,595
20140512,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,7,11.3,キロ,6893
20140512,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,1,2.7,キロ,2430
20140512,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,33,３Ｋ台　,1,3.2,キロ,2880
20140512,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,4,9.5,キロ,6840
20140512,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,33,３Ｋ台　,5,17.5,キロ,19775
20140512,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,34,４ｋ台　,2,8.1,キロ,12150
20140512,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,1,1.5,キロ,345
20140513,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,7,キロ,595
20140513,54079,ツガイナカ中村漁場　１号,11,かれい,1117,みずくさがれい,0,,1,0.3,キロ,30
20140513,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,0.4,キロ,80
20140513,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,1,0.2,キロ,40
20140513,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,2,キロ,20
20140514,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,1.5,キロ,15
20140514,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,33,３Ｋ台　,1,3.7,キロ,4440
20140514,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,32,２Ｋ台　,1,1.9,キロ,950
20140514,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,33,３Ｋ台　,1,3.2,キロ,3136
20140514,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,2,4.4,キロ,3872
20140514,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,3,4.4,キロ,2640
20140514,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,2,2.1,キロ,945
20140514,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,3,キロ,240
20140514,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,1,0.2,キロ,40
20140515,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,3,0.8,キロ,160
20140515,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,0.8,キロ,240
20140515,54079,ツガイナカ中村漁場　１号,9,すけそう,901,すけそう,0,,1,1.5,キロ,15
20140515,54079,ツガイナカ中村漁場　１号,11,かれい,1113,ばばがれい,4,大　　　,1,1,キロ,500
20140515,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,6,小　　　,1,0.9,キロ,450
20140515,54079,ツガイナカ中村漁場　１号,1,さけ,103,ときしらず,33,３Ｋ台　,1,3,キロ,3300
20140515,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,4,大　　　,3,6.4,キロ,5760
20140515,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,5,中　　　,5,7.3,キロ,5110
20140515,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,0.8,キロ,56
20140516,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,2,キロ,160
20140516,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,1,0.2,キロ,40
20140516,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,135,中キズ,1,1.5,キロ,600
20140518,54079,ツガイナカ中村漁場　１号,8,たら,801,まだら,4,大　　　,1,7,キロ,210
20140518,54079,ツガイナカ中村漁場　１号,11,かれい,1116,まつかわがれい,0,,1,0.2,キロ,60
20140518,54079,ツガイナカ中村漁場　１号,27,その他魚類,2735,にしん,0,,2,0.4,キロ,80
20140518,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,1,キロ,80
20140518,54079,ツガイナカ中村漁場　１号,2,ます,201,さくらます,136,小キズ,1,0.7,キロ,140
20140519,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,0.5,キロ,40
20140519,54079,ツガイナカ中村漁場　１号,13,そい・めぬき,1307,ながら,0,,1,1,キロ,300
20140520,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,1,2,キロ,160
20140521,54079,ツガイナカ中村漁場　１号,11,かれい,1110,そうはち,0,,0,2,キロ,140
20140521,54079,ツガイナカ中村漁場　１号,12,ひらめ,1202,活ひらめ,63,スレ　　,1,1,キロ,500
20140521,54079,ツガイナカ中村漁場　１号,20,いか,2001,するめいか,0,,0,0.1,キロ,10
20140521,54079,ツガイナカ中村漁場　１号,20,いか,2099,その他いか,0,ボウズイカ,0,1,キロ,400
