Fish_Name_JP_in_Data,Fish_Name_JP,Scientific_Name,Fish_Name_EN
調研ナマコ,ナマコ,Apostichopus_armata,tyoukenn_sea_cucumber
調研ニシン,ニシン,Clupea_pallasii_pallasii,tyoukenn_pacific_heering
調研ハモ,ハモ,Muraenesox_cinereus,tyoukenn_daggertooth_pike_conger
調研フグ,フグ,Tetraodontidae,tyoukenn_puferfish
調研ブリ,ブリ,Seriola_quinqueradiata,tyoukenn_japanese_amberjack
調研ホタテ,ホタテガイ,Mizuhopecten_yessoensis,tyoukenn_japanese_scallop
調研ホッケ,ホッケ,Pleurogrammus_azonus,tyoukenn_okhotsk_atka_mackerel
調研マイワシ,マイワシ,Sardinops_melanostictus,sardine
調研マグロ,マグロ,Thunnus,tyoukenn_tuna
調研マス,マス,Oncorhynchus,tyoukenn_trout
調研メヌケ,メヌケ,Sebastes,tyoukenn_rockfish
調研メロード,イカナゴ,Ammodytes_personatus,tyoukenn_pacific_sandlance
みずたら,スケトウダラ,Gadus_chalcogrammus,alaska_pollack
調研カキ,カキ,Crassostrea,tyoukenn_oyster
フウライカジキ,フウライカジキ,Tetrapturus_angustirostris,shortbil_spearfish
ベニザケ,ベニザケ,Oncorhynchus_nerka,sockeye_salmon
むぎさば,マサバ,Scomber_japonicus,chub_mackerel
その他の水産動物類,その他の水産動物類,none,aquatic_animal_other
ヨシキリザメ,ヨシキリザメ,Prionace_glauca,great_blue_shark
調研スズキ,スズキ,Lateolabrax_japonicus,tyoukenn_japanese_seabass
投棄魚,投棄魚,none,bycatch
その他のうに類,その他のウニ類,none,urchin_other
その他のほや類,その他のホヤ類,none,sea_squirt_other
海産哺乳類,海棲哺乳類,none,marine_animals
バラメヌケ,バラメヌケ,Sebastes_baramenuke,rose_rockfish
トリガイ,トリガイ,Fulvia_mutica,heart_shell
さけ類,サケ,Oncorhynchus,salmon
ベニズワイガニ,ベニズワイガニ,japonicus_Rathbun,red_snow_clab
調研メバル,メバル,Sebastes,tyoukenn_japanese_rockfish
クエ,クエ,Epinephelus_bruneus,longtooth_grouper
甘エビ,ホッコクアカエビ,Pandalus_eous,alaskan_pink_srimp
カンテンゲンゲ,カンテンゲンゲ,Bothrocara_tanakae,jelly_eelpout
ドスイカ,ドスイカ,Berryteuthis_magister,schoolmaster_gonate_squid
ハガツオ,ハガツオ,Sarda_orientalis,striped_bonito
まめぴん,マダラ,Gadus_macrocephalus,pacificcod
まめまめ,マダラ,Gadus_macrocephalus,pacificcod
イイダコ,イイダコ,Octopus_ocellatus,webfoot_octpus
うばさめ,ウバザメ,Cetorhinus_maximus,basking_shark
カジカ類,カジカ,Cottidae,sculpin
クジメ,クジメ,Hexagrammos_agrammus,spottey_bellied_greenling
クロアナゴ,クロアナゴ,Conger_japonicus,beach_conger
さめ,サメ,Elasmobranchii,shark
サラガイ,サラガイ,Megangulus_venulosus,northern_great_tellin
シマアジ,シマアジ,Pseudocaranx_dentex,white_trevally
じゃみさば,マサバ,Scomber_japonicus,chub_mackerel
その他のえび類,その他のエビ類,none,shrimp_other
その他のさけ・ます類,その他のサケ・マス類,none,salmon_trout_other
ダツ,ダツ,Strongylura _nastomella,pacific_needlefish
ハタハタ,ハタハタ,Arctoscopus_japonicus,japanese_sandfish
ヒレ（サメ全て）,全サメ（ヒレ）,Elasmobranchii,all_shark_fin
ホタルイカ,ホタルイカ,Watasenia_scintillans,firefly_squid
マテガイ,マテガイ,Solen_strictus,razor_shell
モズク,モズク,Nemacystus_decipiens,mozuku
ヤナギメバル,ヤナギメバル,Sebastes_itinus,willow_rockfish
塩カラフトマス,カラフトマス,Oncorhynchus_gorbuscha,salted_pink_salmon
塩シロサケ,シロサケ,Oncorhynchus_keta,salted_chum_salmon
塩ベニサケ,ベニサケ,Oncorhynchus_nerka,salted_sockeye_salmon
塩マスノスケ,マスノスケ,Oncorhynchus_tshawytscha,salted_chinook_salmon
化さめ,バケサメ,unknown,bake_sahrk
虎さめ,トラサメ,unknown,tora_shark
勝さめ,アオザメ,Isurus_oxyrinchus,shortfin_mako
真尾長さめ,ニタリ（マオナガ）,Alopias_vulpinus,thresher
青さめ,アオサメ,unknown,ao_shark
青サモク（青ノリ）,ヒトエグサ,Monostroma_latissimum,holey_sea_lettuca
丁さめ,シュモクザメ,Sphyrnidae,hammerhead_shark
尾長さめ,ハチワレ,Alopias_superciliosus,bigeye_thresher
平頭,ヨゴレ,Carcharhinus_longimanus,oceanic_whitetip_shark
目光,アオメエソ,Chlorophthalmus_albatrossis,greeneyes
目白さめ,クロトガリザメ,Carcharhinus_falciformis,silky_shark
コイ,マゴイ,Cyprinus_carpio,common_carp
ホテイウオ,ホテイウオ,Aptocyclus_ventricosus,smooth_lumpsucker
スギ,スギ,Rachycentron_canadum,cobia
ブリ,ブリ,Seriola_quinqueradiata,japanese_amberjack
メジナ,メジナ,Girella_punctata,greenfish
ヤマメ,ヤマメ,Oncorhynchus_masos,yamame_trout
マハタ,マハタ,Epinephelus_septemfasciatus,convict_grouper
マフグ,マフグ,Takifugu_porphyreus,puffer
スナガレイ,スナガレイ,Limanda_punctatissimus,sand_flounder
クロモ,クロモ,Papenfussiella_kuromo,kuromo_seaweed
その他のたこ類,その他のタコ類,none,octpus_other
ふな類,フナ,Carassius,crucian_carp
その他のシタビラメ類,その他のシタビラメ類,none,tonguefish_other
その他のその他のイカ,その他のイカ,none,squid_other
コマイ,コマイ,Eleginus_gracilis,saffron_cod
その他のかじき,その他のカジキ,none,marlin_other
かつお,カツオ,Katsuwonus_pelamis,skipjack
カワハギ,カワハギ,Stephanolepis_cirrhifer,threadsail_filefish
こういか類,コウイカ,Sepia_esculenta,cuttlefish
ツバメウオ,ツバメウオ,Platax_teira,longfin_batfish
巻き貝類,巻き貝類,none,snail
エゾイシカゲガイ,エゾイシカゲガイ,Clinocardium_californiense,bering_sea_cockel
スケトウダラ,スケトウダラ,Gadus_chalcogrammus,alaska_pollack
その他のアナゴ,その他のアナゴ,none,conger_eel_other
ふぐ類,フグ,Tetraodontidae,pufferfish
アカムツ,アカムツ,Doederleinia_berycoides,blackthroat_seaperch
たこ類,タコ,Octopoda,tyoukenn_octpus
ヒラツメガニ,ヒラツメガニ,Ovalipes_punctatus,swimming_clab
メアジ,メアジ,Selar_crumenophthalmus,bigeye_scad
めぬけ類,メヌケ,Sebastes,rockfish
ヤナギダコ,ヤナギダコ,Paroctopus_conispadiceus,chestnut_octpus
あじ類,アジ,Trachurus,horse_mackerel
ギンアナゴ,ギンアナゴ,Gnathophis_nystromi,silver_conger_eer
テングハギ,テングハギ,Naso_unicornis,bluespin_unicornfish
ニジカジカ,ニジカジカ,Alcichthys_elongatus,elkhorn_sculpin
はが,ヒラメ,Paralichthys_olivaceus,bastard_halibut
ダンゴイカ,ダンゴイカ,Rossia_pacifica,bobtail_squid
調研カタクチイワシ,カタクチイワシ,Engraulis_japonicus,tyoukenn_japanese_ancyovy
あおっこ,ブリ,Seriola_quinqueradiata,japanese_amberjack
あわび類,アワビ,Haliotis,abalone
アンコウ,アンコウ,Lophiomus_setigerus,blackmouth_angler
イカナゴ,イカナゴ,Ammodytes_personatus,pacific_sandlance
うに類,ウニ,Echinoidea,urchin
オアカムロ,オアカムロ,Decapterus_tabl,roughear_scad
キュウリウオ,キュウリウオ,Osmerus_mordax,arctic_smelt
ギンポ,ギンポ,Pholis_nebulosa,tidpool_gunnel
サワガニ,サワガニ,Geothelphusa_dehaani,japanese_freshwater_clab
したびらめ類,シタビラメ,Cynoglossidae,tonguefish
シラウオ,シラウオ,Salangidhthys_microdon,japanese_icefish
そい類,ソイ,Sebastes,rockfish_soi
その他のいわし,その他のイワシ,none,sardine_other
その他のえい,その他のエイ,none,ray_other
その他のまぐろ,その他のマグロ,none,tuna_other
たなご類,タナゴ,Embiotocidae,temmick
トビウオ,ホントビウオ,Cypselurus_agoo,japanese_flyingfish
なまこ類,ナマコ,Apostichopu,sea_cucumber
ハナサキガニ,ハナサキガニ,Paralithodes_brevipes,hanasaki_clab
めなだ,メナダ,Planiliza_haematocheila,so_iyu_mullet
モスソガイ,モスソガイ,Voluthapa_perryi,mosuso_snail
わらさ,ブリ,Seriola_quinqueradiata,japanese_amberjack
その他の異尾類,その他の異尾類,none,anomaly_other
ムロアジ,ムロアジ,Decapterus,amberstripe_scad
シロウオ,シロウオ,Leucopsarion_petersii,ice_govy
しらす,シラス,none,whitebait
モクズガニ,モクズガニ,Eriocheir_japonica,japanese_miten_clab
コタマガイ,コタマガイ,Macridiscus_melanaegis,kotama_shell
あおなまこ,マナマコ,Apostichopus_armata,sea_cucumber
めばる類,メバル,Sebastes,japanese_rockfish
アメマス,アメマス,Salvelinus_leucomaenis,whitespotted_char
ケンサキイカ,ケンサキイカ,Uroteuthis_edulis,swordtip_squid
その他のその他のタラ,その他のタラ,none,cod_other
ぼら,ボラ,Mugil_cephalus,flathead_gray_mullet
ワカサギ,ワカサギ,Hypomesus_nipponensis,japanese_smelt
トビクレ,トクビレ,Podothecus_sachi,snailfin_poacher
フトモズク,フトモズク,Tinocladia_crassa,hutomozuku
ノレソレ,レプトケファルス,none,leptocephalus
キアンコウ,キアンコウ,Lophius_litulon,yellow_goosefish
